iter	Logloss
261	0.1431799828
262	0.1431544914
263	0.1431439962
264	0.1431285506
265	0.143100735
266	0.1430821037
267	0.1430565371
268	0.1430130429
269	0.1429840163
270	0.1429391326
271	0.1429175505
272	0.1428785895
273	0.1428469356
274	0.142837937
275	0.142807366
276	0.1427829126
277	0.1427673604
278	0.1427318943
279	0.1426849788
280	0.1426659912
281	0.1426343939
282	0.1425930931
283	0.1425527526
284	0.1425164586
285	0.1424888369
286	0.1424687962
287	0.1424608565
288	0.1424490197
289	0.1424080705
290	0.1423779961
291	0.1423660601
292	0.1423473363
293	0.1423169415
294	0.1423067598
295	0.142276879
296	0.1422555826
297	0.1422268685
298	0.1421946103
299	0.1421874584
300	0.142170322
301	0.142151076
302	0.1421199848
303	0.1420881041
304	0.1420793309
305	0.1420643575
306	0.1420104354
307	0.1419820977
308	0.1419653293
309	0.1419598472
310	0.1419476569
311	0.1419162237
312	0.1419036676
313	0.1418833491
314	0.1418437452
315	0.141828321
316	0.141806263
317	0.1417918313
318	0.1417526192
319	0.1417359701
320	0.1417190584
321	0.1417055879
322	0.1416913952
323	0.1416555183
324	0.1416131741
325	0.141590374
326	0.1415748853
327	0.1415425016
328	0.1415253871
329	0.1415061158
330	0.1414915657
331	0.1414798745
332	0.141465056
333	0.141387204
334	0.1413604853
335	0.1413461637
336	0.141330313
337	0.1413024407
338	0.1412876678
339	0.1412737191
340	0.1412642182
341	0.1412312466
342	0.1412077996
343	0.1411753727
344	0.1411636756
345	0.1411342745
346	0.1411251725
347	0.1410997436
348	0.1410736347
349	0.1410573542
