iter	Logloss
0	0.5830327167
1	0.4901983233
2	0.4348922103
3	0.3839322278
4	0.3379591683
5	0.3059334387
6	0.2768044701
7	0.2549148116
8	0.240321657
9	0.2294661125
10	0.2172190357
11	0.2086791558
12	0.2014515235
13	0.195431008
14	0.188822907
15	0.1859681232
16	0.1833891375
17	0.1808536261
18	0.177997311
19	0.1754080737
20	0.1736898211
21	0.1724169955
22	0.1709516372
23	0.1701348766
24	0.1678028807
25	0.1672210401
26	0.1654315538
27	0.1639374093
28	0.1635152168
29	0.1622331302
30	0.161094622
31	0.1606252591
32	0.1604180839
33	0.160061471
34	0.1590042989
35	0.158187449
36	0.1574673773
37	0.1568412897
38	0.156416644
39	0.15592765
40	0.1554376322
41	0.1550016686
42	0.1546164581
43	0.1543340118
44	0.1540580365
45	0.1537457167
46	0.1534510846
47	0.1532085927
48	0.1529618272
49	0.1529067955
50	0.1528564813
51	0.1528087504
52	0.1527346977
53	0.1525510217
54	0.1523714161
55	0.1521942464
56	0.1515837672
57	0.1514777731
58	0.1514030592
59	0.1513608954
60	0.1512853913
61	0.1512308212
62	0.1511379326
63	0.1510738279
64	0.1509656507
65	0.1508960392
66	0.1505014099
67	0.1504303094
68	0.1503976615
69	0.1503404766
70	0.1502760214
71	0.1502414671
72	0.1501698396
73	0.1500977216
74	0.1500668147
75	0.1500121531
76	0.1498911629
77	0.1498670812
78	0.1497648907
79	0.1494747968
80	0.14940686
81	0.1493703047
82	0.1492860042
83	0.1492227275
84	0.1491997994
85	0.1491394782
86	0.1491124826
87	0.1490562711
88	0.1488637152
89	0.1488411256
90	0.1488087142
91	0.1487481591
92	0.1487237405
93	0.14868376
94	0.1486603156
95	0.1486317015
96	0.1485448784
97	0.1485287251
98	0.1484708535
99	0.1484382169
100	0.1483999974
101	0.1483080054
102	0.1482683459
103	0.1481174706
104	0.1480709213
105	0.1480397384
106	0.148020718
107	0.1479819116
108	0.1479558179
109	0.1479090706
110	0.1478883033
111	0.1477648247
112	0.1477197998
113	0.1477042859
114	0.1476637152
115	0.1475401822
116	0.1475153311
117	0.1474994998
118	0.1474704166
119	0.1474449323
120	0.1474087198
121	0.1472956009
122	0.1472707896
123	0.1472436197
124	0.1472028268
125	0.1471567434
126	0.1471402474
127	0.1471010144
128	0.147019436
129	0.1470082139
130	0.1469263189
131	0.1469001353
132	0.1468590883
133	0.1468346935
134	0.1468071785
135	0.1468071422
136	0.1467797545
137	0.1467477989
138	0.1467246741
139	0.146643543
140	0.1466260742
141	0.146585369
142	0.1465674246
143	0.1465554612
144	0.1465322261
145	0.146500593
146	0.1464748649
147	0.1464445001
148	0.1463980326
149	0.1463112215
150	0.1462876766
151	0.14625879
152	0.1462044267
153	0.1461861507
154	0.1461476975
155	0.1460942398
156	0.1460708962
157	0.1460270828
158	0.1459968442
159	0.1459758497
160	0.1459234957
161	0.1459077447
162	0.1458902546
163	0.1458562642
164	0.145838679
165	0.1458110692
166	0.1457759228
167	0.1457669783
168	0.1456966182
169	0.1456667363
170	0.1456171313
171	0.1455938417
172	0.1455485252
173	0.1455265305
174	0.1455045665
175	0.145472998
176	0.1454420212
177	0.145400518
178	0.1453647641
179	0.1453525573
180	0.1453396773
181	0.1453205227
182	0.1453023633
183	0.1452631483
184	0.1452303195
185	0.1451885663
186	0.1451597244
187	0.1451358457
188	0.1451019754
189	0.1450795029
190	0.1450622965
191	0.1450499045
192	0.1450355147
193	0.1449849011
194	0.1449568549
195	0.1449193053
196	0.1448810262
197	0.1448592533
198	0.1448329487
199	0.1448075096
200	0.1447757625
201	0.1447392246
202	0.1447234043
203	0.1446985121
204	0.1446830902
205	0.1446702148
206	0.1446531502
207	0.1446326288
208	0.1446154156
209	0.1445818656
210	0.1445731215
211	0.1445414713
212	0.14452992
213	0.1444964042
214	0.1444740101
215	0.1444337194
216	0.1444070289
217	0.1443891594
218	0.1443450218
219	0.1443126567
220	0.144269351
221	0.144256923
222	0.1442399107
223	0.1442204213
224	0.1442018971
225	0.1441751027
226	0.1441427286
227	0.1441321102
228	0.1440991521
229	0.1440889964
230	0.1440401341
231	0.1440069684
232	0.1439763718
233	0.1439455782
234	0.1439301099
235	0.1439060452
236	0.1438742912
237	0.1438243065
238	0.1437993543
239	0.1437782669
240	0.1437583789
241	0.1437243484
242	0.1436983473
243	0.1436727529
244	0.1436530248
245	0.1436189591
246	0.1435999825
247	0.1435798072
248	0.1435508356
249	0.1435186638
250	0.1434927805
251	0.1434435299
252	0.1434160543
253	0.1433990094
254	0.1433655702
255	0.1433433092
256	0.1433083709
257	0.1432904074
258	0.1432774084
259	0.1432386905
260	0.1432085346
